repeat,fold,training_fraction,training_records,low_training_records,medium_training_records,high_training_records,train_balanced_accuracy,validation_balanced_accuracy,train_macro_f1,validation_macro_f1
0,0,0.4,19,2,12,5,1.0,0.7777777777777777,1.0,0.7916666666666666
0,0,0.55,26,2,16,8,1.0,0.7777777777777777,1.0,0.7916666666666666
0,0,0.7,33,3,20,10,1.0,0.7777777777777777,1.0,0.7916666666666666
0,0,0.85,40,3,25,12,1.0,0.8888888888888888,1.0,0.9111111111111111
0,0,1.0,48,4,30,14,1.0,0.8888888888888888,1.0,0.9111111111111111
0,1,0.4,19,2,11,6,1.0,0.9166666666666666,1.0,0.8690476190476191
0,1,0.55,26,3,16,7,1.0,0.7777777777777777,1.0,0.7962962962962963
0,1,0.7,33,3,20,10,1.0,0.8888888888888888,1.0,0.9137254901960784
0,1,0.85,40,4,24,12,1.0,1.0,1.0,1.0
0,1,1.0,48,5,29,14,0.9761904761904763,1.0,0.98200460347353,1.0
0,2,0.4,19,2,11,6,1.0,0.8472222222222222,1.0,0.8472222222222222
0,2,0.55,26,3,16,7,1.0,0.8888888888888888,1.0,0.9137254901960784
0,2,0.7,33,3,20,10,1.0,1.0,1.0,1.0
0,2,0.85,40,4,24,12,0.9722222222222222,1.0,0.9787045252883763,1.0
0,2,1.0,48,5,29,14,0.9761904761904763,1.0,0.98200460347353,1.0
0,3,0.4,19,2,12,5,1.0,0.48809523809523814,1.0,0.4603174603174603
0,3,0.55,26,3,16,7,0.9523809523809524,0.9166666666666666,0.9642579642579644,0.9301587301587301
0,3,0.7,33,3,21,9,1.0,0.8690476190476191,1.0,0.8690476190476191
0,3,0.85,40,4,25,11,0.9696969696969697,0.8214285714285715,0.9775910364145658,0.8119658119658119
0,3,1.0,48,5,30,13,0.9743589743589745,1.0,0.9812021857923497,1.0
0,4,0.4,19,2,12,5,1.0,0.8333333333333334,1.0,0.8472222222222222
0,4,0.55,26,3,16,7,1.0,1.0,1.0,1.0
0,4,0.7,33,3,21,9,1.0,1.0,1.0,1.0
0,4,0.85,40,4,25,11,1.0,1.0,1.0,1.0
0,4,1.0,48,5,30,13,1.0,1.0,1.0,1.0
1,0,0.4,19,2,12,5,1.0,0.9523809523809524,1.0,0.9267399267399267
1,0,0.55,26,2,16,8,1.0,0.8333333333333334,1.0,0.8666666666666666
1,0,0.7,33,3,20,10,0.9666666666666667,1.0,0.9743260590500641,1.0
1,0,0.85,40,3,25,12,1.0,1.0,1.0,1.0
1,0,1.0,48,4,30,14,0.9761904761904763,1.0,0.9821898401133374,1.0
1,1,0.4,19,2,11,6,1.0,1.0,1.0,1.0
1,1,0.55,26,3,16,7,1.0,0.8888888888888888,1.0,0.9137254901960784
1,1,0.7,33,3,20,10,0.9666666666666667,1.0,0.9743260590500641,1.0
1,1,0.85,40,4,24,12,1.0,1.0,1.0,1.0
