model,feature_set,class,support,precision,sensitivity,specificity,f1
AB,combined,Low,6,1.0,1.0,1.0,1.0
AB,combined,Medium,37,0.9444444444444444,0.918918918918919,0.9130434782608695,0.9315068493150684
AB,combined,High,17,0.8333333333333334,0.8823529411764706,0.9302325581395349,0.8571428571428571
DT,combined,Low,6,1.0,1.0,1.0,1.0
DT,combined,Medium,37,0.918918918918919,0.918918918918919,0.8695652173913043,0.918918918918919
DT,combined,High,17,0.8235294117647058,0.8235294117647058,0.9302325581395349,0.8235294117647058
GBT,combined,Low,6,1.0,1.0,1.0,1.0
GBT,combined,Medium,37,0.9736842105263158,1.0,0.9565217391304348,0.9866666666666667
GBT,combined,High,17,1.0,0.9411764705882353,1.0,0.9696969696969697
LR,combined,Low,6,0.75,1.0,0.9629629629629629,0.8571428571428571
LR,combined,Medium,37,0.9705882352941176,0.8918918918918919,0.9565217391304348,0.9295774647887324
LR,combined,High,17,0.8888888888888888,0.9411764705882353,0.9534883720930233,0.9142857142857143
NB,combined,Low,6,1.0,0.5,1.0,0.6666666666666666
NB,combined,Medium,37,0.8974358974358975,0.9459459459459459,0.8260869565217391,0.9210526315789473
NB,combined,High,17,0.8888888888888888,0.9411764705882353,0.9534883720930233,0.9142857142857143
RF,combined,Low,6,1.0,1.0,1.0,1.0
RF,combined,Medium,37,0.972972972972973,0.972972972972973,0.9565217391304348,0.972972972972973
RF,combined,High,17,0.9411764705882353,0.9411764705882353,0.9767441860465116,0.9411764705882353
SVM,combined,Low,6,0.8571428571428571,1.0,0.9814814814814815,0.9230769230769231
SVM,combined,Medium,37,0.9722222222222222,0.9459459459459459,0.9565217391304348,0.958904109589041
SVM,combined,High,17,0.9411764705882353,0.9411764705882353,0.9767441860465116,0.9411764705882353
kNN,combined,Low,6,0.6666666666666666,0.6666666666666666,0.9629629629629629,0.6666666666666666
kNN,combined,Medium,37,0.8292682926829268,0.918918918918919,0.6956521739130435,0.8717948717948718
kNN,combined,High,17,0.9230769230769231,0.7058823529411765,0.9767441860465116,0.8
