model,feature_set,repeat,fold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mcc
LR,combined,0,0,0.75,0.7936507936507936,0.7777777777777778,0.7936507936507936,0.7802197802197802,0.5886020116850139
NB,combined,0,0,0.75,0.6746031746031745,0.8055555555555555,0.6746031746031745,0.7111111111111111,0.541162769282166
kNN,combined,0,0,0.75,0.6746031746031745,0.8055555555555555,0.6746031746031745,0.7111111111111111,0.541162769282166
DT,combined,0,0,0.6666666666666666,0.8095238095238094,0.8095238095238096,0.8095238095238094,0.7333333333333334,0.6097560975609756
RF,combined,0,0,0.8333333333333334,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.7073170731707317
SVM,combined,0,0,0.8333333333333334,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.7073170731707317
AB,combined,0,0,0.8333333333333334,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.7073170731707317
GBT,combined,0,0,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333
LR,combined,0,1,1.0,1.0,1.0,1.0,1.0,1.0
NB,combined,0,1,1.0,1.0,1.0,1.0,1.0,1.0
kNN,combined,0,1,0.8333333333333334,0.8472222222222222,0.7916666666666666,0.8472222222222222,0.7805555555555556,0.6761234037828132
DT,combined,0,1,0.8333333333333334,0.7777777777777777,0.9333333333333332,0.7777777777777777,0.7962962962962963,0.6639400022069858
RF,combined,0,1,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,0,1,0.9166666666666666,0.9583333333333334,0.8333333333333334,0.9583333333333334,0.8666666666666666,0.8579409756912387
AB,combined,0,1,1.0,1.0,1.0,1.0,1.0,1.0
GBT,combined,0,1,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,0,2,1.0,1.0,1.0,1.0,1.0,1.0
NB,combined,0,2,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531
kNN,combined,0,2,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531
DT,combined,0,2,1.0,1.0,1.0,1.0,1.0,1.0
RF,combined,0,2,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,0,2,1.0,1.0,1.0,1.0,1.0,1.0
AB,combined,0,2,1.0,1.0,1.0,1.0,1.0,1.0
GBT,combined,0,2,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,0,3,1.0,1.0,1.0,1.0,1.0,1.0
NB,combined,0,3,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
kNN,combined,0,3,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
DT,combined,0,3,1.0,1.0,1.0,1.0,1.0,1.0
RF,combined,0,3,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,0,3,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129
AB,combined,0,3,1.0,1.0,1.0,1.0,1.0,1.0
GBT,combined,0,3,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,0,4,0.9166666666666666,0.9523809523809524,0.8333333333333334,0.9523809523809524,0.8632478632478632,0.8690481892534816
NB,combined,0,4,0.8333333333333334,0.6190476190476191,0.5523809523809523,0.6190476190476191,0.582010582010582,0.6901982514999776
kNN,combined,0,4,0.8333333333333334,0.8690476190476191,0.7857142857142857,0.8690476190476191,0.7936507936507936,0.7127227606745064
DT,combined,0,4,0.8333333333333334,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8777777777777778,0.7502344849205329
RF,combined,0,4,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,0,4,1.0,1.0,1.0,1.0,1.0,1.0
AB,combined,0,4,0.8333333333333334,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8777777777777778,0.7502344849205329
GBT,combined,0,4,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,1,0,0.8333333333333334,0.9047619047619048,0.8666666666666667,0.9047619047619048,0.8611111111111112,0.768273325346536
NB,combined,1,0,0.9166666666666666,0.9523809523809524,0.9166666666666666,0.9523809523809524,0.9267399267399267,0.8711309772938205
kNN,combined,1,0,0.6666666666666666,0.626984126984127,0.7380952380952381,0.626984126984127,0.6507936507936508,0.4126289667062931
DT,combined,1,0,0.75,0.8571428571428571,0.8333333333333334,0.8571428571428571,0.7979797979797979,0.6827783335546161
RF,combined,1,0,0.9166666666666666,0.9523809523809524,0.9166666666666666,0.9523809523809524,0.9267399267399267,0.8711309772938205
SVM,combined,1,0,0.9166666666666666,0.9523809523809524,0.9166666666666666,0.9523809523809524,0.9267399267399267,0.8711309772938205
AB,combined,1,0,0.9166666666666666,0.9523809523809524,0.9166666666666666,0.9523809523809524,0.9267399267399267,0.8711309772938205
GBT,combined,1,0,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,1,1,0.9166666666666666,0.9583333333333334,0.8333333333333334,0.9583333333333334,0.8666666666666666,0.8579409756912387
NB,combined,1,1,0.8333333333333334,0.625,0.5416666666666666,0.625,0.5773809523809524,0.6573757351339165
kNN,combined,1,1,0.9166666666666666,0.9583333333333334,0.8333333333333334,0.9583333333333334,0.8666666666666666,0.8579409756912387
DT,combined,1,1,0.8333333333333334,0.7777777777777777,0.9333333333333332,0.7777777777777777,0.7962962962962963,0.6639400022069858
RF,combined,1,1,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,1,1,1.0,1.0,1.0,1.0,1.0,1.0
AB,combined,1,1,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
GBT,combined,1,1,0.9166666666666666,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9137254901960784,0.8317883872610065
LR,combined,1,2,1.0,1.0,1.0,1.0,1.0,1.0
NB,combined,1,2,1.0,1.0,1.0,1.0,1.0,1.0
