model,feature_set,repeat,fold,inner_best_balanced_accuracy,best_params
LR,combined,0,0,0.9611111111111111,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,0,0,0.6555555555555554,"{""model__var_smoothing"": 1e-11}"
kNN,combined,0,0,0.7111111111111111,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,0,0,0.9555555555555556,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 2}"
RF,combined,0,0,0.9722222222222222,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}"
SVM,combined,0,0,0.9222222222222222,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,0,0,0.9166666666666666,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 100}"
GBT,combined,0,0,0.9222222222222222,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,0,1,0.9098765432098764,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,0,1,0.704320987654321,"{""model__var_smoothing"": 1e-11}"
kNN,combined,0,1,0.7722222222222223,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,0,1,0.9277777777777777,"{""model__class_weight"": null, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2}"
RF,combined,0,1,0.9777777777777777,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 2}"
SVM,combined,0,1,0.9432098765432099,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,0,1,0.9499999999999998,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,0,1,0.9499999999999998,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,0,2,0.9098765432098764,"{""model__C"": 10.0, ""model__class_weight"": null}"
NB,combined,0,2,0.7654320987654321,"{""model__var_smoothing"": 1e-11}"
kNN,combined,0,2,0.8265432098765432,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,0,2,0.7864197530864198,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,0,2,0.8888888888888888,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,0,2,0.8864197530864198,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,0,2,0.8320987654320987,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 50}"
GBT,combined,0,2,0.9432098765432099,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,0,3,0.8888888888888888,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}"
NB,combined,0,3,0.7333333333333334,"{""model__var_smoothing"": 1e-11}"
kNN,combined,0,3,0.8166666666666668,"{""model__n_neighbors"": 7, ""model__weights"": ""distance""}"
DT,combined,0,3,0.8722222222222222,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,0,3,0.9444444444444445,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,0,3,0.9111111111111111,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,0,3,0.9166666666666666,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 25}"
GBT,combined,0,3,0.8722222222222221,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,0,4,0.8388888888888889,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,0,4,0.7555555555555555,"{""model__var_smoothing"": 1e-09}"
kNN,combined,0,4,0.7611111111111111,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,0,4,0.8944444444444445,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,0,4,0.9611111111111111,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}"
SVM,combined,0,4,0.9111111111111111,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,0,4,0.9055555555555556,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 100}"
GBT,combined,0,4,0.9611111111111111,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,1,0,0.9,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,1,0,0.6111111111111112,"{""model__var_smoothing"": 1e-11}"
kNN,combined,1,0,0.6555555555555556,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,1,0,0.9444444444444445,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,1,0,0.9333333333333332,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,1,0,0.9,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,1,0,0.8888888888888888,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 25}"
GBT,combined,1,0,0.9111111111111111,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,1,1,0.8987654320987654,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,1,1,0.8111111111111112,"{""model__var_smoothing"": 1e-07}"
kNN,combined,1,1,0.7555555555555555,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,1,1,0.9333333333333332,"{""model__class_weight"": null, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2}"
RF,combined,1,1,0.911111111111111,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,1,1,0.9098765432098767,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,1,1,0.9222222222222222,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 100}"
GBT,combined,1,1,0.9333333333333332,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,1,2,0.9432098765432099,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,1,2,0.7222222222222222,"{""model__var_smoothing"": 1e-11}"
kNN,combined,1,2,0.8388888888888889,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,1,2,0.8777777777777778,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,1,2,0.9777777777777777,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,1,2,0.9111111111111111,"{""model__C"": 10.0, ""model__class_weight"": null, ""model__kernel"": ""rbf""}"
AB,combined,1,2,0.9111111111111111,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,1,2,0.9222222222222222,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,1,3,0.9888888888888889,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,1,3,0.7111111111111111,"{""model__var_smoothing"": 1e-11}"
kNN,combined,1,3,0.8222222222222223,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,1,3,0.888888888888889,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,1,3,0.9444444444444445,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,1,3,0.9777777777777779,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,1,3,1.0,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 50}"
GBT,combined,1,3,1.0,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,1,4,0.8999999999999999,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,1,4,0.7277777777777777,"{""model__var_smoothing"": 1e-11}"
kNN,combined,1,4,0.9,"{""model__n_neighbors"": 5, ""model__weights"": ""uniform""}"
DT,combined,1,4,0.8722222222222222,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 2}"
RF,combined,1,4,0.9166666666666666,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,1,4,0.9111111111111111,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,1,4,0.8944444444444445,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,1,4,0.8666666666666666,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,2,0,0.7444444444444445,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,2,0,0.688888888888889,"{""model__var_smoothing"": 1e-07}"
