model,feature_set,balanced_accuracy_mean_original_data,macro_f1_mean_original_data,mcc_mean_original_data,balanced_accuracy_mean_corrected_data,macro_f1_mean_corrected_data,mcc_mean_corrected_data
GBT,combined,0.9403462285815228,0.9508862699522592,0.9059489552678052,0.9403462285815228,0.9508862699522592,0.9059489552678052
RF,combined,0.9287934993817344,0.9244407996850096,0.8628623880873368,0.9355767532238118,0.928702651691169,0.8763274773303538
AB,combined,0.9280515809927576,0.9297320892522132,0.8566205729268461,0.9280515809927576,0.9297320892522132,0.8566205729268461
SVM,combined,0.9264794205970676,0.9047915612558082,0.8554939346865028,0.9311340752517224,0.9068889760623284,0.8557382232598755
LR,combined,0.9201731142907617,0.8881177853200641,0.8352619538007853,0.9257286698463169,0.8951473252418083,0.8390979769656974
DT,combined,0.8800388623918037,0.8738310709623228,0.7428005891625904,0.8800388623918037,0.8738310709623228,0.7428005891625904
NB,combined,0.7797650591768239,0.8169436818105549,0.7783664834821402,0.7797650591768239,0.8169436818105549,0.7783664834821402
kNN,combined,0.7621974916092562,0.7857983931037527,0.6941337279065272,0.7584437378555025,0.7828005717083949,0.6980783972131174
GBT,nonpostural,0.9532591414944356,0.961052278701721,0.9188535929056242,0.9532591414944356,0.961052278701721,0.9188535929056242
GBT,postural,0.6789348171701113,0.6939962090652667,0.4749692200549883,0.6807366189719131,0.6970367536658525,0.480531162505693
